status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
implemented,alu,D1,CMP,IND_Y,3/6,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP2 = read(TMP+Y); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_idy; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,alu,D2,CMP,ZPG_IND,5,"TMP2 = read_pc(); ; PC++; ; TMP = read(TMP2 & 0xff); ; TMP = set_h(TMP, read((TMP2+1) & 0xff)); ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_zpi; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,D3,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,nop,D4,NOP,ZPG_X,4,TMP = read_pc(); ; PC++; ; read(TMP); ; read(uint8_t(TMP+X)); ; prefetch();,no,no,read,backlog,high (mame opcode map),mame_handler=nop_zpx; cycles_source=mame_seq_derived
implemented,alu,D5,CMP,ZPG_X,4,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP2 = read(uint8_t(TMP+X)); ; do_cmp(A, TMP2); ; prefetch();",no,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_zpx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,inc_dec,D6,DEC,ZPG_X,6,"TMP = read_pc(); ; PC++; ; read(TMP); ; TMP = uint8_t(TMP+X); ; TMP2 = read(TMP); ; read(TMP); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=dec_c_zpx; cmos-path handler; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,nop,D7,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,flags,D8,CLD,IMP,2,read_pc(); ; P &= ~F_D; ; prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=cld_imp; cycles_source=mame_seq_derived
implemented,alu,D9,CMP,ABS_Y,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, Y)) { ; read(set_l(TMP, TMP+Y)); ; TMP += Y; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_aby; cycles_source=mame_seq_derived; micro-queued in scheduler
planned,stack,DA,PHX,IMP,3,"read_pc(); ; write(SP, X); ; dec_SP(); ; prefetch();",no,no,stack,backlog,high (mame opcode map),mame_handler=phx_imp; cycles_source=mame_seq_derived
planned,nop,DB,NOP,IMP,1,prefetch();,no,no,internal,backlog,high (mame opcode map),mame_handler=nop_c_imp; cmos-path handler; cycles_source=mame_seq_derived
planned,nop,DC,NOP,ABS_X,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; prefetch();",mode-dependent,no,read,backlog,high (mame opcode map),mame_handler=nop_c_abx; cmos-path handler; cycles_source=mame_seq_derived
implemented,alu,DD,CMP,ABS_X,2/5,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; if(page_changing(TMP, X)) { ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; do_cmp(A, TMP2); ; prefetch();",mode-dependent,no,read,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=cmp_abx; cycles_source=mame_seq_derived; micro-queued in scheduler
implemented,inc_dec,DE,DEC,ABS_X,7,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; read(set_l(TMP, TMP+X)); ; TMP += X; ; TMP2 = read(TMP); ; read(TMP); ; TMP2--; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",mode-dependent,no,read-modify-write,Cpu65c02Opcode/Cpu65c02Microcode/CpuExecutionPlanner,high (mame opcode map),mame_handler=dec_c_abx; cmos-path handler; cycles_source=mame_seq_derived; micro-queued in scheduler
