opcode_hex,cmd_class,cmd_expected_mnemonic,cmd_expected_bytes,cmd_expected_cycles,cmd_source_note,java_mnemonic,java_mode,java_bytes,java_cycles,mnemonic_match,bytes_match,cycles_match,overall
C1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,IND_X,2,6,n/a,n/a,n/a,n/a
C2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),NOP,IMP,2,2,yes,yes,yes,match
C3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
C4,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPY,ZPG,2,3,n/a,n/a,n/a,n/a
C5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,ZPG,2,3,n/a,n/a,n/a,n/a
C6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,DEC,ZPG,2,5,n/a,n/a,n/a,n/a
C7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
C8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INY,IMP,1,2,n/a,n/a,n/a,n/a
C9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,IMM,2,2,n/a,n/a,n/a,n/a
CA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,DEX,IMP,1,2,n/a,n/a,n/a,n/a
CB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
CC,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPY,ABS,3,4,n/a,n/a,n/a,n/a
CD,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,ABS,3,4,n/a,n/a,n/a,n/a
CE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,DEC,ABS,3,6,n/a,n/a,n/a,n/a
CF,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
D0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BNE,REL,2,2,n/a,n/a,n/a,n/a
D1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,IND_Y,2,5,n/a,n/a,n/a,n/a
D2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),CMP,ZPG_IND,2,5,no,yes,no,mismatch
D3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
D4,invalid_opcode_table_v,NOP,2,4,invalid->NOP (54/D4/F4),NOP,IMP,2,4,yes,yes,yes,match
D5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,ZPG_X,2,4,n/a,n/a,n/a,n/a
D6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,DEC,ZPG_X,2,6,n/a,n/a,n/a,n/a
D7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
D8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CLD,IMP,1,2,n/a,n/a,n/a,n/a
D9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,ABS_Y,3,4,n/a,n/a,n/a,n/a
DA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,PHX,IMP,1,3,n/a,n/a,n/a,n/a
DB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
DC,invalid_opcode_table_v,NOP,3,4,invalid->NOP (DC/FC),NOP,IMP,3,4,yes,yes,yes,match
DD,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CMP,ABS_X,3,4,n/a,n/a,n/a,n/a
DE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,DEC,ABS_X,3,6,n/a,n/a,n/a,n/a
DF,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
E0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPX,IMM,2,2,n/a,n/a,n/a,n/a
E1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,IND_X,2,6,n/a,n/a,n/a,n/a
E2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),NOP,IMP,2,2,yes,yes,yes,match
E3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
E4,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPX,ZPG,2,3,n/a,n/a,n/a,n/a
E5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,ZPG,2,3,n/a,n/a,n/a,n/a
E6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INC,ZPG,2,5,n/a,n/a,n/a,n/a
E7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
E8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INX,IMP,1,2,n/a,n/a,n/a,n/a
E9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,IMM,2,2,n/a,n/a,n/a,n/a
EA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,NOP,IMP,1,2,n/a,n/a,n/a,n/a
EB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
EC,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,CPX,ABS,3,4,n/a,n/a,n/a,n/a
ED,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,ABS,3,4,n/a,n/a,n/a,n/a
EE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INC,ABS,3,6,n/a,n/a,n/a,n/a
EF,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
F0,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,BEQ,REL,2,2,n/a,n/a,n/a,n/a
F1,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,IND_Y,2,5,n/a,n/a,n/a,n/a
F2,invalid_opcode_table_v,NOP,2,2,invalid->NOP (X2),SBC,ZPG_IND,2,5,no,yes,no,mismatch
F3,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
F4,invalid_opcode_table_v,NOP,2,4,invalid->NOP (54/D4/F4),NOP,IMP,2,4,yes,yes,yes,match
F5,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,ZPG_X,2,4,n/a,n/a,n/a,n/a
F6,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INC,ZPG_X,2,6,n/a,n/a,n/a,n/a
F7,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
F8,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SED,IMP,1,2,n/a,n/a,n/a,n/a
F9,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,ABS_Y,3,4,n/a,n/a,n/a,n/a
FA,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,PLX,IMP,1,4,n/a,n/a,n/a,n/a
FB,invalid_opcode_table_v,NOP,1,1,invalid->NOP (X3/X7/XB/XF),NOP,IMP,1,1,yes,yes,yes,match
FC,invalid_opcode_table_v,NOP,3,4,invalid->NOP (DC/FC),NOP,IMP,3,4,yes,yes,yes,match
FD,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,SBC,ABS_X,3,4,n/a,n/a,n/a,n/a
FE,not_listed_in_table_v,,,,Table V does not enumerate this opcode explicitly,INC,ABS_X,3,6,n/a,n/a,n/a,n/a
