status,family,opcode_hex,mnemonic,address_mode,documented_cycles_wdc,visual6502_timing_path,has_page_cross_variant,has_branch_variant,read_write_pattern,implementation_owner,source_confidence,notes
planned,inc_dec,E6,INC,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=inc_zpg; cycles_source=mame_seq_derived
planned,misc,E7,ISB,ZPG,5,"TMP = read_pc(); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=isb_zpg; cycles_source=mame_seq_derived
planned,inc_dec,E8,INX,IMP,2,read_pc(); ; X++; ; set_nz(X); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=inx_imp; cycles_source=mame_seq_derived
in_progress,alu,E9,SBC,IMM,2,TMP = read_pc(); ; PC++; ; do_sbc(TMP); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=sbc_imm; cycles_source=mame_seq_derived
planned,nop,EA,NOP,IMP,2,read_pc(); ; prefetch();,no,no,internal,,high (mame opcode map),mame_handler=nop_imp; cycles_source=mame_seq_derived
in_progress,alu,EB,SBC,IMM,2,TMP = read_pc(); ; PC++; ; do_sbc(TMP); ; prefetch();,no,no,read,,high (mame opcode map),mame_handler=sbc_imm; cycles_source=mame_seq_derived
in_progress,alu,EC,CPX,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_cmp(X, TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=cpx_aba; cycles_source=mame_seq_derived
in_progress,alu,ED,SBC,ABS,4,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=sbc_aba; cycles_source=mame_seq_derived
planned,inc_dec,EE,INC,ABS,6,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; set_nz(TMP2); ; write(TMP, TMP2); ; prefetch();",no,no,read-modify-write,,high (mame opcode map),mame_handler=inc_aba; cycles_source=mame_seq_derived
planned,misc,EF,ISB,ABS,6,"TMP = read_pc(); ; PC++; ; TMP = set_h(TMP, read_pc()); ; PC++; ; TMP2 = read(TMP); ; write(TMP, TMP2); ; TMP2++; ; write(TMP, TMP2); ; do_sbc(TMP2); ; prefetch();",no,no,read,,high (mame opcode map),mame_handler=isb_aba; cycles_source=mame_seq_derived
