opcode_hex,rockwell_token,wdc_token,rockwell_normalized,wdc_normalized,raw_equal,normalized_equal
CD,cmp_aba,cmp_aba,cmp_aba,cmp_aba,yes,yes
CE,dec_c_aba,dec_c_aba,dec_aba,dec_aba,yes,yes
CF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
D0,bne_rel,bne_rel,bne_rel,bne_rel,yes,yes
D1,cmp_idy,cmp_s_idy,cmp_idy,cmp_idy,no,yes
D2,cmp_zpi,cmp_zpi,cmp_zpi,cmp_zpi,yes,yes
D3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
D4,nop_zpx,nop_s_zpx,nop_zpx,nop_zpx,no,yes
D5,cmp_zpx,cmp_s_zpx,cmp_zpx,cmp_zpx,no,yes
D6,dec_c_zpx,dec_s_zpx,dec_zpx,dec_zpx,no,yes
D7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
D8,cld_imp,cld_imp,cld_imp,cld_imp,yes,yes
D9,cmp_aby,cmp_s_aby,cmp_aby,cmp_aby,no,yes
DA,phx_imp,phx_imp,phx_imp,phx_imp,yes,yes
DB,stp_imp,stp_imp,stp_imp,stp_imp,yes,yes
DC,nop_c_abx,nop_s_abx,nop_abx,nop_abx,no,yes
DD,cmp_abx,cmp_s_abx,cmp_abx,cmp_abx,no,yes
DE,dec_c_abx,dec_s_abx,dec_abx,dec_abx,no,yes
DF,bbs_zpb,bbs_zpb,bbs_zpb,bbs_zpb,yes,yes
E0,cpx_imm,cpx_imm,cpx_imm,cpx_imm,yes,yes
E1,sbc_c_idx,sbc_s_idx,sbc_idx,sbc_idx,no,yes
E2,nop_imm,nop_imm,nop_imm,nop_imm,yes,yes
E3,nop_c_imp,nop_c_imp,nop_imp,nop_imp,yes,yes
E4,cpx_zpg,cpx_zpg,cpx_zpg,cpx_zpg,yes,yes
E5,sbc_c_zpg,sbc_c_zpg,sbc_zpg,sbc_zpg,yes,yes
E6,inc_c_zpg,inc_s_zpg,inc_zpg,inc_zpg,no,yes
E7,smb_bzp,smb_bzp,smb_bzp,smb_bzp,yes,yes
E8,inx_imp,inx_imp,inx_imp,inx_imp,yes,yes
E9,sbc_c_imm,sbc_c_imm,sbc_imm,sbc_imm,yes,yes
